Distance_(pixels),Gray_Value
1135,0.0000
1136,0.0000
1137,0.4535
1138,0.6101
1139,0.0000
1140,0.0745
1141,0.0231
1142,0.3120
1143,0.3137
1144,0.0537
1145,1.1294
1146,0.0000
1147,0.0000
1148,0.0000
1149,0.3241
1150,0.0000
1151,2.3045
1152,9.8787
1153,3.3102
1154,2.6626
1155,0.0000
1156,1.3218
1157,2.6436
1158,0.3587
1159,0.0000
1160,0.0000
1161,0.0347
1162,0.3333
1163,1.0450
1164,0.7002
1165,0.0000
1166,0.9394
1167,0.9342
1168,0.0000
1169,0.9238
1170,6.7014
1171,1.7533
1172,0.0000
1173,0.0000
1174,0.0681
1175,4.8320
1176,1.2583
1177,0.5881
1178,0.0410
1179,0.0000
1180,0.0000
1181,0.8053
1182,1.5708
1183,1.4183
1184,0.0000
1185,0.0000
1186,0.0000
1187,4.6038
1188,4.2750
1189,1.9129
1190,0.2715
1191,0.3333
1192,0.0653
1193,1.1324
1194,0.0000
1195,0.0000
1196,0.5499
1197,0.6653
1198,0.2577
1199,3.4820
1200,6.5084
1201,2.5858
1202,1.0030
1203,0.9961
1204,0.0000
1205,0.2455
1206,0.5371
1207,0.1825
1208,0.0000
1209,0.0000
1210,0.1929
1211,0.0982
1212,0.0999
1213,1.0000
1214,0.3101
1215,0.4204
1216,0.4402
1217,0.0000
1218,0.8921
1219,5.7536
1220,1.8942
1221,1.0396
1222,2.3080
1223,3.3559
1224,1.9424
1225,0.3673
1226,0.9934
1227,1.2518
1228,0.0000
1229,0.0000
1230,0.0000
1231,0.0000
1232,0.0000
1233,0.0000
1234,0.8620
1235,1.9462
1236,1.8490
1237,1.2891
1238,4.6527
1239,0.0000
1240,0.5937
1241,0.3003
1242,0.0000
1243,0.0000
1244,0.3560
1245,1.4713
1246,0.8726
1247,0.0000
1248,1.2983
1249,0.0000
1250,0.5027
1251,0.9967
1252,0.5026
1253,0.1624
1254,0.0000
1255,0.3488
1256,0.0000
1257,0.0000
1258,0.0000
1259,0.1520
1260,0.5492
1261,0.0000
1262,0.2936
1263,0.1883
1264,0.0000
1265,0.0000
1266,0.0000
1267,1.0000
1268,1.0605
1269,0.6667
1270,1.9345
1271,0.9184
1272,0.2039
1273,0.0000
1274,0.0000
1275,1.4576
1276,0.0000
1277,0.0000
1278,0.0000
1279,0.0000
1280,0.5780
1281,2.8944
1282,0.1121
1283,0.4437
1284,1.1014
1285,0.2264
1286,0.4385
1287,1.0347
1288,1.4070
1289,3.9999
1290,0.7264
1291,0.5264
1292,4.8623
1293,2.4025
1294,0.0000
1295,0.0000
1296,0.0000
1297,0.0000
1298,0.0000
1299,0.7494
1300,0.9905
1301,0.4753
1302,0.5892
1303,1.5455
1304,1.7039
1305,0.7831
1306,1.8394
1307,0.3441
1308,0.5346
1309,3.4771
1310,1.4758
1311,0.3095
1312,1.1203
1313,1.1753
1314,1.1134
1315,0.8865
1316,1.5070
1317,0.0000
1318,0.0000
1319,3.1412
1320,0.7593
1321,0.0000
1322,1.8808
1323,0.4521
1324,0.1968
1325,0.0000
1326,0.0000
1327,0.0683
1328,2.6018
1329,0.0307
1330,0.0000
1331,1.2244
1332,0.1020
1333,0.5235
1334,0.1763
1335,0.9594
1336,0.7781
1337,0.0842
1338,0.3182
1339,0.0000
1340,0.0000
1341,2.5973
1342,1.9836
1343,0.0064
1344,0.0236
1345,0.0000
1346,0.0000
1347,0.0000
1348,0.0000
1349,0.0000
1350,0.0000
1351,0.0074
1352,0.0457
1353,0.0000
1354,0.9622
1355,0.3190
1356,0.0000
1357,0.0000
1358,0.0000
1359,0.3972
1360,0.4023
1361,0.6172
1362,0.0000
1363,0.1410
1364,0.0299
1365,0.3017
1366,2.1663
1367,3.4207
1368,0.0369
1369,0.0000
1370,0.0000
1371,0.2944
1372,3.6667
1373,9.2569
1374,4.1915
1375,0.3333
1376,2.1015
1377,3.0896
1378,1.3957
1379,0.0000
1380,0.0000
1381,0.3333
1382,0.4556
1383,2.2895
1384,2.6021
1385,1.7347
1386,0.3333
1387,0.4729
1388,0.3576
1389,0.5531
1390,1.4417
1391,1.2831
1392,0.0000
1393,0.0000
1394,4.2741
1395,0.0000
1396,0.0000
1397,0.0000
1398,0.0000
1399,0.2428
1400,0.4615
1401,1.1965
1402,0.7127
1403,0.0000
1404,0.2977
1405,0.0000
1406,2.6919
1407,1.3977
1408,0.2123
1409,0.0000
1410,0.1096
1411,0.0000
1412,0.0000
1413,1.2408
1414,2.4008
1415,0.2150
1416,2.3066
1417,1.4871
1418,0.5432
1419,2.0810
1420,0.0000
1421,0.0000
1422,0.0000
1423,0.0000
1424,0.0000
1425,0.0000
1426,0.5494
1427,3.0312
1428,2.3850
1429,0.1426
1430,0.4329
1431,1.2699
1432,0.3712
1433,0.2990
1434,0.1821
1435,0.0000
1436,0.0000
1437,0.0000
1438,1.8978
1439,2.1735
1440,1.6465
1441,1.0199
1442,1.3460
1443,0.0000
1444,0.0000
1445,1.1414
1446,0.3226
1447,5.3333
1448,5.3333
1449,6.9157
1450,2.6667
1451,0.0000
1452,0.0000
1453,0.2984
1454,1.1152
1455,0.1457
1456,0.0000
1457,0.0000
1458,2.8235
1459,3.0557
1460,1.1776
1461,1.5840
1462,1.9325
1463,0.2637
1464,0.0000
1465,0.0000
1466,1.0934
1467,1.4578
1468,0.0000
1469,0.0000
1470,0.0000
1471,0.0000
1472,1.4341
1473,0.0000
1474,0.3384
1475,0.4445
1476,2.4427
1477,5.4514
1478,1.4235
1479,0.6249
1480,0.0000
1481,0.0000
1482,0.0990
1483,0.0000
1484,0.1910
1485,0.1875
1486,1.2066
1487,0.6320
1488,0.0000
1489,0.0868
1490,1.6807
1491,2.2501
1492,0.4966
1493,0.0000
1494,0.6253
1495,2.0276
1496,0.5173
1497,0.0000
1498,0.0000
1499,1.0553
1500,2.3333
1501,0.0660
1502,0.0000
1503,0.0000
1504,0.0608
1505,4.1135
1506,1.3798
1507,0.0000
1508,1.8383
1509,1.0522
1510,0.2522
1511,1.8128
1512,0.5727
1513,0.8643
1514,0.7972
1515,0.5831
1516,1.1732
1517,0.5900
