Distance_(pixels),Gray_Value
1914,0.070
1915,6.000
1916,6.698
1917,0.142
1918,2.488
1919,6.605
1920,0.595
1921,2.079
1922,0.073
1923,0.000
1924,5.337
1925,0.000
1926,0.000
1927,0.000
1928,1.887
1929,1.447
1930,0.000
1931,0.000
1932,0.000
1933,0.000
1934,1.550
1935,0.078
1936,0.039
1937,0.000
1938,0.000
1939,0.294
1940,0.000
1941,0.000
1942,0.000
1943,0.000
1944,0.041
1945,0.041
1946,1.169
1947,0.000
1948,0.000
1949,0.000
1950,0.000
1951,0.000
1952,2.249
1953,0.873
1954,0.667
1955,3.281
1956,3.774
1957,2.611
1958,0.130
1959,0.087
1960,0.000
1961,0.000
1962,2.667
1963,1.466
1964,0.667
1965,10.678
1966,6.326
1967,1.028
1968,0.181
1969,0.000
1970,3.164
1971,1.287
1972,0.713
1973,5.889
1974,1.735
1975,0.093
1976,0.000
1977,0.000
1978,0.858
1979,4.336
1980,0.286
1981,0.955
1982,1.056
1983,0.675
1984,0.581
1985,0.243
1986,4.268
1987,6.461
1988,5.284
1989,3.345
1990,0.000
1991,0.000
1992,0.000
1993,0.000
1994,1.736
1995,10.051
1996,0.899
1997,0.204
1998,3.129
1999,2.410
2000,1.897
2001,3.972
2002,1.207
2003,2.927
2004,5.647
2005,3.595
2006,0.281
2007,0.000
2008,0.000
2009,0.000
2010,0.000
2011,0.000
2012,0.000
2013,0.000
2014,0.000
2015,0.000
2016,1.164
2017,0.219
2018,0.000
2019,0.000
2020,0.000
2021,0.000
2022,0.000
2023,0.277
2024,8.159
2025,2.831
2026,0.000
2027,0.610
2028,0.000
2029,0.000
2030,0.000
2031,6.046
2032,7.391
2033,4.031
2034,0.275
2035,0.000
2036,2.749
2037,1.648
2038,0.000
2039,0.236
2040,2.140
2041,2.689
2042,0.893
2043,0.358
2044,1.213
2045,0.273
2046,0.273
2047,1.182
2048,1.093
2049,1.974
2050,7.873
2051,0.000
2052,0.000
2053,0.272
2054,1.086
2055,3.876
2056,4.627
2057,0.312
2058,4.709
2059,5.314
2060,1.585
2061,5.540
2062,10.873
2063,4.366
2064,3.971
2065,3.155
2066,0.808
2067,7.754
2068,6.677
2069,0.269
2070,0.000
2071,4.073
2072,9.543
2073,7.202
2074,0.535
2075,0.264
2076,0.601
2077,0.000
2078,1.801
2079,4.200
2080,5.600
2081,5.266
2082,3.196
2083,0.000
2084,2.657
2085,6.525
2086,1.544
2087,0.000
2088,1.060
2089,0.000
2090,0.000
2091,0.264
2092,0.000
2093,0.000
2094,0.000
2095,0.000
2096,0.070
2097,0.000
2098,0.000
2099,0.000
2100,0.000
2101,0.000
2102,1.645
2103,0.000
2104,5.523
2105,10.835
2106,4.202
2107,1.640
2108,0.783
2109,0.000
2110,0.073
2111,1.563
2112,3.603
2113,2.601
2114,1.560
2115,2.338
2116,3.374
2117,0.000
2118,0.000
2119,5.292
2120,0.000
2121,0.000
2122,0.000
2123,0.784
2124,1.119
2125,3.818
2126,3.137
2127,1.772
2128,2.819
2129,0.410
2130,0.000
2131,2.000
2132,5.384
